_id,1. open,2. high,3. low,4. close,5. volume,date,symbol
67999cac0da2ccc8cae2f2ee,0.5710,0.5943,0.5710,0.5720,19607,2024-04-19,ELAB
67999cac0da2ccc8cae2f2ef,0.5710,0.6141,0.5710,0.5850,14205,2024-04-18,ELAB
67999cac0da2ccc8cae2f2f0,0.5860,0.6173,0.5710,0.5725,20734,2024-04-17,ELAB
67999cac0da2ccc8cae2f2f1,0.5750,0.6025,0.5709,0.5833,68032,2024-04-16,ELAB
67999cac0da2ccc8cae2f2f2,0.6290,0.6300,0.5750,0.5750,56179,2024-04-15,ELAB
67999cac0da2ccc8cae2f2f3,0.6401,0.6401,0.6000,0.6000,29654,2024-04-12,ELAB
67999cac0da2ccc8cae2f2f4,0.6352,0.6499,0.6055,0.6401,24075,2024-04-11,ELAB
67999cac0da2ccc8cae2f2f5,0.6257,0.6500,0.6011,0.6101,48914,2024-04-10,ELAB
67999cac0da2ccc8cae2f2f6,0.6310,0.6749,0.6001,0.6002,111601,2024-04-09,ELAB
67999cac0da2ccc8cae2f2f7,0.6600,0.6700,0.6010,0.6480,68939,2024-04-08,ELAB
67999cac0da2ccc8cae2f2f8,0.6776,0.6800,0.6310,0.6451,71959,2024-04-05,ELAB
67999cac0da2ccc8cae2f2f9,0.6810,0.7100,0.6600,0.6800,60170,2024-04-04,ELAB
67999cac0da2ccc8cae2f2fa,0.6700,0.7000,0.6611,0.6850,61461,2024-04-03,ELAB
67999cac0da2ccc8cae2f2fb,0.6897,0.7090,0.6615,0.6880,67650,2024-04-02,ELAB
67999cac0da2ccc8cae2f2fc,0.7000,0.7095,0.6700,0.6897,54755,2024-04-01,ELAB
67999cac0da2ccc8cae2f2fd,0.7000,0.7095,0.6800,0.6950,88285,2024-03-28,ELAB
67999cac0da2ccc8cae2f2fe,0.7099,0.7100,0.6900,0.6900,28366,2024-03-27,ELAB
67999cac0da2ccc8cae2f2ff,0.7190,0.7200,0.6851,0.6998,57117,2024-03-26,ELAB
67999cac0da2ccc8cae2f300,0.7453,0.7488,0.6900,0.7020,126952,2024-03-25,ELAB
67999cac0da2ccc8cae2f301,0.7700,0.7700,0.7310,0.7600,24221,2024-03-22,ELAB
67999cac0da2ccc8cae2f302,0.7577,0.7700,0.7302,0.7649,48228,2024-03-21,ELAB
67999cac0da2ccc8cae2f303,0.7615,0.7615,0.7259,0.7400,38904,2024-03-20,ELAB
67999cac0da2ccc8cae2f304,0.7800,0.7999,0.7550,0.7550,33248,2024-03-19,ELAB
67999cac0da2ccc8cae2f305,0.7800,0.8100,0.7405,0.7970,127114,2024-03-18,ELAB
67999cac0da2ccc8cae2f306,0.7650,0.7946,0.7200,0.7310,44443,2024-03-15,ELAB
67999cac0da2ccc8cae2f307,0.7930,0.7950,0.7560,0.7789,50837,2024-03-14,ELAB
67999cac0da2ccc8cae2f308,0.7890,0.7950,0.7520,0.7720,64798,2024-03-13,ELAB
67999cac0da2ccc8cae2f309,0.8096,0.8096,0.7500,0.7700,99905,2024-03-12,ELAB
67999cac0da2ccc8cae2f30a,0.7580,0.8300,0.7500,0.7660,180448,2024-03-11,ELAB
67999cac0da2ccc8cae2f30b,0.7560,0.7900,0.7250,0.7700,155854,2024-03-08,ELAB
67999cac0da2ccc8cae2f30c,0.7520,0.7799,0.7102,0.7400,135121,2024-03-07,ELAB
67999cac0da2ccc8cae2f30d,0.7585,0.7936,0.7300,0.7303,58420,2024-03-06,ELAB
67999cac0da2ccc8cae2f30e,0.8000,0.8000,0.7300,0.7301,159981,2024-03-05,ELAB
67999cac0da2ccc8cae2f30f,0.7050,0.8000,0.7050,0.7530,169882,2024-03-04,ELAB
67999cac0da2ccc8cae2f310,0.6931,0.7720,0.6900,0.7400,181967,2024-03-01,ELAB
67999cac0da2ccc8cae2f311,0.6801,0.7255,0.6801,0.6970,108335,2024-02-29,ELAB
67999cac0da2ccc8cae2f312,0.7077,0.7098,0.6800,0.6999,118597,2024-02-28,ELAB
67999cac0da2ccc8cae2f313,0.7486,0.7486,0.6815,0.6901,167902,2024-02-27,ELAB
67999cac0da2ccc8cae2f314,0.6897,0.7680,0.6800,0.7330,222532,2024-02-26,ELAB
67999cac0da2ccc8cae2f315,0.6900,0.7180,0.6486,0.7150,466393,2024-02-23,ELAB
67999cac0da2ccc8cae2f316,0.8399,0.8800,0.6900,0.7050,10458427,2024-02-22,ELAB
67999cac0da2ccc8cae2f317,0.7300,0.7940,0.6810,0.7690,728799,2024-02-21,ELAB
67999cac0da2ccc8cae2f318,0.7000,0.7500,0.6900,0.7400,199920,2024-02-20,ELAB
67999cac0da2ccc8cae2f319,0.7500,0.7500,0.6800,0.6816,204044,2024-02-16,ELAB
67999cac0da2ccc8cae2f31a,0.7500,0.8000,0.7000,0.7281,290240,2024-02-15,ELAB
67999cac0da2ccc8cae2f31b,0.6200,0.7700,0.6200,0.7475,665621,2024-02-14,ELAB
